229	of the oregon department of
116	or agencies without the express
116	persons or agencies without the
115	other persons or agencies without
115	this document is the property
115	the property of the oregon
115	property of the oregon department
115	agencies without the express consent
114	the oregon department of justice
114	the express consent of the
114	is the property of the
114	document is the property of
114	without the express consent of
114	consent of the oregon department
114	express consent of the oregon
114	to other persons or agencies
113	shall not be distributed to
113	distributed to other persons or
112	department of justice and shall
112	of justice and shall not
112	the oregon department of justice.
112	oregon department of justice and
112	not be distributed to other
112	be distributed to other persons
111	justice and shall not be
111	and shall not be distributed
63	department of justice. manhas sonia
63	oregon department of justice. manhas
59	sonia transcript of interview july
59	interview july 31, 2013 page
59	of interview july 31, 2013
58	transcript of interview july 31,
56	manhas sonia transcript of interview
36	manhas sonia interview transcript july
35	of justice. manhas sonia transcript
35	justice. manhas sonia transcript of
30	sonia interview transcript july 31,
30	interview transcript july 31, 2013
29	transcript july 31, 2013 page
27	justice. manhas sonia interview transcript
27	of justice. manhas sonia interview
20	manhas kmetic: manhas kmetic: manhas
18	kmetic: manhas kmetic: manhas kmetic:
11	manhas wells manhas wells manhas
9	wells manhas wells manhas wells
9	manhas, sonia transcript of interview
8	oregon department of justice. cjd0007-13
8	department of justice. cjd0007-13 manhas
7	oregon department of justice. manhas,
7	kmetic: manhas: kmetic: manhas: kmetic:
7	of justice. cjd0007-13 manhas sonia
7	department of justice. manhas, sonia
7	justice. manhas, sonia transcript of
7	of justice. manhas, sonia transcript
6	july 3 l, 2013 page
6	kmetic: manhas kmetic: manhas: kmetic:
6	manhas kmetic manhas kmetic: manhas
5	manhas wells: manhas wells manhas
5	manhas sonia interview transcript july3l,
5	.. this document is the
5	interview transcript july3l, 2013 page
5	sonia interview transcript july 3
5	kmetic: manhas kmetic: manhas wells
5	it. this document is the
5	sonia interview transcript july3l, 2013
5	kmetic: manhas: kmetic: manhas kmetic:
5	manhas kmetic: manhas: kmetic: manhas
5	manhas: kmetic: manhas: kmetic: manhas:
5	kmetic: manhas kmetic: manhas kmetic
5	okay. this document is the
4	manhas kmetic: manhas wells manhas
4	wells kmetic: manhas kmetic: manhas
4	you know what i mean?
4	manhas: kmetic: manhas kmetic: manhas
4	cjd0007-13 manhas sonia transcript of
4	justice. cjd0007-13 manhas sonia transcript
4	i came back to work
4	transcript july 3 l, 2013
4	interview transcript july 3 l,
4	wells: manhas wells manhas wells
4	2 wells manhas wells manhas
4	manhas 2 wells manhas wells
4	mckanna: kmetic: mckanna: kmetic: mckanna:
4	kmetic: manhas kmetic manhas kmetic:
4	of 60 kmetic: manhas kmetic:
4	manhas wells manhas wells: manhas
3	kmetic manhas kmetic: manhas kmetic:
3	3 manhas sonia transcript of
3	wells manhas wells 2 manhas
3	no. this document is the
3	i mean i don't know
3	manhas: kmetic: manhas: kmetic: manhas
3	manhas kmetic: manhas: kmetic: manhas:
3	manhas kmetic: manhas kmetic: manhas:
3	(laughs). this document is the
3	wells manhas kmetic: manhas kmetic:
3	manhas wells manhas kmetic: manhas
3	that i was trying to
3	department of justice. cjdoo07-13 manhas
3	oregon department of justice. cjdoo07-13
3	i this document is the
3	60 kmetic: manhas kmetic: manhas
3	oregon department of justice. i
3	i don't know what to
3	wells manhas 2 wells manhas
3	i just wanted to make
3	justice. cjd0007-13 manhas sonia interview
3	cjd0007-13 manhas sonia interview transcript
3	oregon department of justice. cjdo007-13
3	wells manhas wells manhas wells:
3	transcript of interview july 3
3	prepared by: mike wells part
3	report prepared by: mike wells
3	i really want you to
3	yeah. this document is the
3	i don't want to be
3	july 31, 2013 page 6
3	investigator: mike wells, special agent
3	attorney investigator: mike wells, special
3	liz, attorney investigator: mike wells,
3	sonia transcript of interview july3l,20l3
3	transcript of interview july3l,20l3 page
3	kmetic: mckanna: kmetic: mckanna: kmetic:
3	mckanna: kmetic: manhas kmetic: manhas:
3	date: july 31, 2013 person
3	action date: july 31, 2013
3	department of justice criminal justice
3	of 60 wells manhas wells
3	i don't know if you
3	wells: manhas wells: manhas wells:
3	manhas wells: manhas wells: manhas
3	manhas kmetic: manhas mckanna: manhas
3	division transcript of recorded interview
3	justice division transcript of recorded
3	criminal justice division transcript of
3	justice criminal justice division transcript
3	of justice criminal justice division
3	i don't know what the
3	manhas wells kmetic: manhas kmetic:
3	and i don't know if
2	july 31, 2013 page 21
2	you get from the hotel
2	31, 2013 page 6 of
2	cjd00o7--13 manhas sonia transcript of
2	that- this document is the
2	july 31, 2013 page 7
2	31, 2013 page 7 of
2	back to the airport? manhas:
2	i don't- i don't know
2	if he was supposed to
2	i can't remember what the
2	kmetic: wells manhas wells manhas
2	july 31, 2013 page 9
2	31, 2013 page 9 of
2	wells manhas wells manhas kmetic:
2	wells manhas kmetic: manhas wells
2	wells manhas wells mckanna: manhas
2	car? manhas: his car. wells:
2	manhas wells manhas wells manhas:
2	had nothing to do with
2	that this document is the
2	the oregon department of ustice.
2	oregon department of ustice. manhas
2	department of ustice. manhas sonia
2	of ustice. manhas sonia transcript
2	ustice. manhas sonia transcript of
2	i feel like i've been
2	really want you to think
2	manhas: yeah, no i know,
2	i mean i- i don't
2	what did we- what did
2	i don't know how it
2	i- i don't want to
2	that you went to jeff
2	you went to jeff for
2	manhas kmetic: manhas kmetic manhas
2	and keep in mind that
2	as it relates to your
2	i was working directly with
2	wrote the scope of the
2	kmetic: manhas kmetic: manhas mckanna:
2	july 31, 2013 page 2
2	31, 2013 page 2 of
2	manhas: how he scheduled it?
2	kmetic: manhas mckanna: manhas wells
2	the whole week off to
2	i don't know if that's
2	manhas kmetic manhas kmetic manhas
2	i took the whole week
2	mckanna: kmetic: manhas: kmetic: manhas:
2	manhas: kmetic: manhas kmetic: manhas:
2	there's- there's a lot of
2	like what is going on
2	what is going on here?
2	of 60 kmetic: manhas kmetic
2	60 kmetic: manhas kmetic manhas
2	i can't tell you-- i
2	i can say is that
2	oregon report prepared by: mike
2	pm mckanna bishop offe, llp
2	mckanna, liz, attorney investigator: mike
2	present: mckanna, liz, attorney investigator:
2	also present: mckanna, liz, attorney
2	person interviewed: manhas, sonia dob:
2	2013 person interviewed: manhas, sonia
2	31, 2013 person interviewed: manhas,
2	july 31, 2013 person interviewed:
2	31, 2013 page 46 of
2	july 31, 2013 page 46
2	31, 2013 page 45 of
2	july 31, 2013 page 45
2	mckanna: manhas wells kmetic: manhas
2	july 31, 2013 page 44
2	wells manhas kmetic: manhas: kmetic:
2	she came to you with
2	july 31, 2013 page 43
2	came to you with a
2	july 31, 2013 page 41
2	that you feel like we
2	trip that you feel like
2	that trip that you feel
2	31, 2013 page 40 of
2	july 31, 2013 page 40
2	to you with a complaint.
2	to decide what you want
2	july 31, 2013 page 38
2	july 31, 2013 page 37
2	i would of for sure
2	31, 2013 page 36 of
2	july 31, 2013 page 36
2	31, 2013 page 35 of
2	july 31, 2013 page 35
2	our leadership team for the
2	i didn't say that to
2	i mean you know i
2	kmetic 2 manhas kmetic: manhas
2	manhas kmetic: manhas kmetic 2
2	didn't say that to her.
2	july 31, 2013 page 33
2	him on his work phone
2	no code that we should
2	there's no code that we
2	so i can't tell you
2	there are things that say
2	i see the perception now
2	wells manhas wells kmetic: manhas
2	kmetic: manhas wells manhas wells
2	say that to her. i
2	i mean, you know, i
2	i'm not gonna be able
2	july 31, 2013 page 30
2	not gonna be able to
2	i was trying my best
2	to do that kind of
2	i mean i don't have
2	was not meant to be
2	he knew that i was
2	i mean like i said
2	was trying my best to
2	opinion that you were having
2	of 46 manhas wells manhas
2	31, 2013 page 29 of
2	july 31, 2013 page 29
2	to be honest with you,
2	31, 2013 page 27 of
2	july 31, 2013 page 27
2	this, i mean i don't
2	31, 2013 page 26 of
2	july 31, 2013 page 26
2	. wells: manhas wells manhas
2	manhas . wells: manhas wells
2	wells manhas . wells: manhas
2	of justice. cjdoo07-13 manhas sonia
2	it's always better to hear
2	always better to hear it
2	better to hear it from
2	31, 2013 page 24 of
2	july 31, 2013 page 24
2	31, 2013 page 23 of
2	july 31, 2013 page 23
2	to hear it from the
2	your this document is the
2	31, 2013 page 22 of
2	july 31, 2013 page 22
2	cjdo007--13 manhas sonia interview transcript
2	justice. cjdo007--13 manhas sonia interview
2	of justice. cjdo007--13 manhas sonia
2	department of justice. cjdo007--13 manhas
2	oregon department of justice. cjdo007--13
2	31, 2013 page 21 of
2	of course i would have.
2	we could see other people.
2	that we could see other
2	know what to tell you
2	don't know what to tell
2	hear it from the person
2	so is there anything on
2	i know, i know but
2	that you want to tell
2	you want to tell us
2	kmetic: okay. manhas: yeah. wells:
2	a lot of the work
2	july 31, 2013 page 19
2	of justice. - manhas sonia
2	department of justice. - manhas
2	oregon department of justice. -
2	so i was trying to
2	i was trying to understand
2	wells: manhas wells manhas 2
