1497	i
1436	the
1140	of
897	and
893	to
802	that
792	you
548	was
497	a
493	it
459	manhas:
412	is
407	this
390	know
378	manhas
373	kmetic:
355	wells:
341	in
300	so
289	not
269	department
264	mean
259	or
245	but
243	we
235	oregon
222	be
221	like
217	what
196	i'm
195	for
191	with
190	on
186	have
181	he
171	other
163	it's
162	about
155	okay.
147	do
147	don't
144	wells
142	yeah,
140	were
139	just
138	i-
138	my
132	me
130	there
130	um,
128	..
124	work
124	if
123	justice
123	that's
122	without
122	they
121	document
120	interview
119	sonia
118	um
117	express
116	property
116	agencies
116	transcript
116	shall
116	persons
115	consent
115	distributed
114	justice.
114	think
114	page
111	did
109	2013
105	july
103	at
102	are
101	she
101	your
99	how
99	because
99	had
98	gonna
94	31,
94	.
91	yeah.
87	can
85	would
85	as
83	kind
82	when
81	mckanna:
81	no,
80	the-
78	want
78	really
74	okay,
74	his
73	all
73	an
72	been
71	her
70	well
69	some
69	you're
68	there's
66	1-
65	people
65	no
63	get
62	trying
61	out
60	from
59	one
59	said
59	we're
57	60
57	going
56	got
54	that.
53	know,
51	that-
51	say
50	didn't
49	see
47	any
47	go
46	up
46	health
45	uh
44	i've
44	jeff
44	understand
43	personal
43	him
43	no.
42	tell
42	part
42	time
42	way
42	can't
41	it,
41	right?
40	then
40	around
40	has
40	even
39	back
39	and-
38	anything
38	it-
38	county
38	where
38	more
37	'cause
37	things
37	(unintelligible)
36	went
36	could
36	i--
35	mean,
35	make
35	it.
34	why
34	lot
33	2
33	first
33	okay
32	was-
32	public
32	yeah
32	very
32	he's
32	wasn't
32	before
31	working
31	look
31	thing
31	that,
31	right.
31	talk
31	lillian
31	of-
30	46
30	stuff
30	i'm-
30	relationship
29	(laughs)
29	remember
29	policy
29	wanted
29	she's
29	oh
29	sure
29	whole
29	feel
28	guys
28	now
28	those
27	he-
27	through
27	we-
27	who
26	1
26	good
26	these
26	criminal
26	email
25	obviously
25	put
25	actually
25	let's
25	by
25	phone
25	right
24	which
24	need
24	come
24	them
24	position
24	so.
24	kmetic
24	something
24	3
24	prevention
24	ask
23	thinking
23	should
23	so,
23	talking
23	we've
22	staff
22	our
22	also
22	let
21	thought
21	asked
21	done
21	talked
21	important
21	little
21	mckenna:
21	different
21	doing
21	what-
21	community
20	will
20	-
20	doesn't
20	the--
20	hear
20	a-
20	i'd
20	that?
20	well,
20	budget
19	might
19	getting
19	two
19	came
19	to-
19	they-
19	process
19	right,
19	us
19	saying
19	end
19	maybe
19	last
19	same
19	couple
19	take
18	direct
18	you-
18	person
18	they're
18	terms
18	there,
18	i'll
18	into
17	than
17	this-
17	you,
17	probably
17	week
17	office
17	my-
17	knew
17	somebody
17	oh,
16	point
16	over
16	of46
16	(laughs).
16	just-
16	it--
16	being
16	was--
16	chair
16	me,
15	not-
15	idea
15	uh,
15	is-
15	only
15	it's-
15	sort
15	their
15	piece
15	directly
15	still
15	guess
14	contact
14	we'll
14	investigation
14	um-
14	own
14	communication
14	here
13	it?
13	said,
13	keep
13	sure.
13	know.
13	day
13	always
13	whatever
13	together
13	question
13	paid
13	else
13	having
13	there.
13	what's
13	call
13	worked
13	worried
13	program
12	took
12	long
12	fact
12	perception
12	text
12	in-
12	multnomah
12	coming
12	looking
12	uh-
12	during
12	started
12	there?
12	sense
12	made
12	understanding
12	grant
12	lunch
12	give
12	board
12	care
12	clearly
11	work,
11	is--
11	nobody
11	on-
11	manhas,
11	many
11	able
11	um.
11	here's
11	case
11	does
11	conference
11	never
11	commissioners
11	nothing
11	time,
11	bit
11	believe
11	after
11	do,
11	hours
11	food
11	concerns
11	i.
10	times
10	says
10	don't-
10	elected
10	kemetic:
10	too
10	emails
10	brought
10	told
10	no-
10	here.
10	haven't
10	that--
10	were-
10	best
10	truth
10	but-
10	completely
10	hotel
10	much
10	she-
9	forward
9	mike
9	everything
9	be-
9	you.
9	read
9	home
9	big
9	explain
9	hard
9	attorney
9	trips
9	10
9	pretty
9	totally
9	already
9	rumors
9	meetings
9	may
9	am
9	this.
9	sent
9	complaint
9	capacity
9	saw
9	you've
9	mind
9	relates
9	meant
9	years
9	again
9	8
9	so-
9	friends
9	making
9	work.
9	alright.
9	lillian,
9	team
8	speak
8	looks
8	course
8	new
8	cjd0007-13
8	too,
8	absolutely
8	anyway
8	applied
8	until
